name,iseu,latitude,longitude
Afghanistan,,33.0,65.0
Albania,,41.0,20.0
Algeria,,28.0,3.0
American Samoa,,-14.3333,-170.0
Andorra,,42.5,1.6
Angola,,-12.5,18.5
Anguilla,,18.25,-63.1667
Antarctica,,-90.0,0.0
Antigua and Barbuda,,17.05,-61.8
Argentina,,-34.0,-64.0
Armenia,,40.0,45.0
Aruba,,12.5,-69.9667
Australia,,-27.0,133.0
Austria,True,47.3333,13.3333
Azerbaijan,,40.5,47.5
Bahamas,,24.25,-76.0
Bahrain,,26.0,50.55
Bangladesh,,24.0,90.0
Barbados,,13.1667,-59.5333
Belarus,,53.0,28.0
Belgium,True,50.8333,4.0
Belize,,17.25,-88.75
Benin,,9.5,2.25
Bermuda,,32.3333,-64.75
Bhutan,,27.5,90.5
Bolivia,,-17.0,-65.0
Bosnia and Herzegovina,,44.0,18.0
Botswana,,-22.0,24.0
Bouvet Island,,-54.4333,3.4
Brazil,,-10.0,-55.0
British Indian Ocean Territory,,-6.0,71.5
Brunei Darussalam,,4.5,114.6667
Bulgaria,True,43.0,25.0
Burkina Faso,,13.0,-2.0
Burundi,,-3.5,30.0
Cabo Verde,,16.0,-24.0
Cambodia,,13.0,105.0
Cameroon,,6.0,12.0
Canada,,60.0,-95.0
Cayman Islands,,19.5,-80.5
Central African Republic,,7.0,21.0
Chad,,15.0,19.0
Chile,,-30.0,-71.0
China,,35.0,105.0
Christmas Island,,-10.5,105.6667
Cocos (Keeling) Islands,,-12.5,96.8333
Colombia,,4.0,-72.0
Comoros,,-12.1667,44.25
Congo Republic,,-1.0,15.0
Cook Islands,,-21.2333,-159.7667
Costa Rica,,10.0,-84.0
Cote dIvoire,,8.0,-5.0
Croatia,True,45.1667,15.5
Cuba,,21.5,-80.0
Cyprus,True,35.0,33.0
Czechia,True,49.75,15.5
DR Congo,,0.0,25.0
Denmark,True,56.0,10.0
Djibouti,,11.5,43.0
Dominica,,15.4167,-61.3333
Dominican Republic,,19.0,-70.6667
Ecuador,,-2.0,-77.5
Egypt,,27.0,30.0
El Salvador,,13.8333,-88.9167
Equatorial Guinea,,2.0,10.0
Eritrea,,15.0,39.0
Estonia,True,59.0,26.0
Eswatini,,-26.5,31.5
Ethiopia,,8.0,38.0
Falkland Islands (Malvinas),,-51.75,-59.0
Faroe Islands,,62.0,-7.0
Fiji,,-18.0,175.0
Finland,True,64.0,26.0
France,True,46.0,2.0
French Guiana,,4.0,-53.0
French Polynesia,,-15.0,-140.0
French Southern Territories,,-43.0,67.0
Gabon,,-1.0,11.75
Gambia,,13.4667,-16.5667
Georgia,,42.0,43.5
Germany,True,51.0,9.0
Ghana,,8.0,-2.0
Gibraltar,,36.1833,-5.3667
Greece,True,39.0,22.0
Greenland,,72.0,-40.0
Grenada,,12.1167,-61.6667
Guadeloupe,,16.25,-61.5833
Guam,,13.4667,144.7833
Guatemala,,15.5,-90.25
Guernsey,,49.5,-2.56
Guinea,,11.0,-10.0
Guinea-Bissau,,12.0,-15.0
Guyana,,5.0,-59.0
Haiti,,19.0,-72.4167
Heard Island and McDonald Islands,,-53.1,72.5167
Holy See (Vatican City State),,41.9,12.45
Honduras,,15.0,-86.5
Hong Kong,,22.25,114.1667
Hungary,True,47.0,20.0
Iceland,,65.0,-18.0
India,,20.0,77.0
Indonesia,,-5.0,120.0
Iran,,32.0,53.0
Iraq,,33.0,44.0
Ireland,True,53.0,-8.0
Isle of Man,,54.23,-4.55
Israel,,31.5,34.75
Italy,True,42.8333,12.8333
Jamaica,,18.25,-77.5
Japan,,36.0,138.0
Jersey,,49.21,-2.13
Jordan,,31.0,36.0
Kazakhstan,,48.0,68.0
Kenya,,1.0,38.0
Kiribati,,1.4167,173.0
Kosovo,,,
Kuwait,,29.3375,47.6581
Kyrgyz Republic,,41.0,75.0
Laos,,18.0,105.0
Latvia,True,57.0,25.0
Lebanon,,33.8333,35.8333
Lesotho,,-29.5,28.5
Liberia,,6.5,-9.5
Libya,,25.0,17.0
Liechtenstein,,47.1667,9.5333
Lithuania,True,56.0,24.0
Luxembourg,True,49.75,6.1667
Macau,,22.1667,113.55
Madagascar,,-20.0,47.0
Malawi,,-13.5,34.0
Malaysia,,2.5,112.5
Maldives,,3.25,73.0
Mali,,17.0,-4.0
Malta,True,35.8333,14.5833
Marshall Islands,,9.0,168.0
Martinique,,14.6667,-61.0
Mauritania,,20.0,-12.0
Mauritius,,-20.2833,57.55
Mayotte,,-12.8333,45.1667
Mexico,,23.0,-102.0
"Micronesia, Federated States of",,6.9167,158.25
Moldova,,47.0,29.0
Monaco,,43.7333,7.4
Mongolia,,46.0,105.0
Montenegro,,42.0,19.0
Montserrat,,16.75,-62.2
Morocco,,32.0,-5.0
Mozambique,,-18.25,35.0
Myanmar,,22.0,98.0
Namibia,,-22.0,17.0
Nauru,,-0.5333,166.9167
Nepal,,28.0,84.0
Netherlands,True,52.5,5.75
Netherlands Antilles,,12.25,-68.75
New Caledonia,,-21.5,165.5
New Zealand,,-41.0,174.0
Nicaragua,,13.0,-85.0
Niger,,16.0,8.0
Nigeria,,10.0,8.0
Niue,,-19.0333,-169.8667
Norfolk Island,,-29.0333,167.95
North Korea,,40.0,127.0
North Macedonia,,41.8333,22.0
Northern Mariana Islands,,15.2,145.75
Norway,,62.0,10.0
Oman,,21.0,57.0
Pakistan,,30.0,70.0
Palau,,7.5,134.5
Palestine,,32.0,35.25
Panama,,9.0,-80.0
Papua New Guinea,,-6.0,147.0
Paraguay,,-23.0,-58.0
Peru,,-10.0,-76.0
Philippines,,13.0,122.0
Pitcairn,,-24.7,-127.4
Poland,True,52.0,20.0
Portugal,True,39.5,-8.0
Puerto Rico,,18.25,-66.5
Qatar,,25.5,51.25
Romania,True,46.0,25.0
Russia,,60.0,100.0
Rwanda,,-2.0,30.0
R̩union,,-21.1,55.6
"Saint Helena, Ascension and Tristan da Cunha",,-15.9333,-5.7
Saint Kitts and Nevis,,17.3333,-62.75
Saint Lucia,,13.8833,-61.1333
Saint Pierre and Miquelon,,46.8333,-56.3333
Saint Vincent and the Grenadines,,13.25,-61.2
Samoa,,-13.5833,-172.3333
San Marino,,43.7667,12.4167
Sao Tome and Principe,,1.0,7.0
Saudi Arabia,,25.0,45.0
Senegal,,14.0,-14.0
Serbia,,44.0,21.0
Seychelles,,-4.5833,55.6667
Sierra Leone,,8.5,-11.5
Singapore,,1.3667,103.8
Slovakia,True,48.6667,19.5
